applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Send yourself a text message with #playmusic and it will start a song,"If you lose your phone, just have a friend send your phone a text with #playmusic in the message. Your phone will immediately begin playing music.",New SMS received matches search,Play music,/android_messages,/android_device,15.2k
Automatically have the texts you receive on your Android phone sent to your email,"No need to stop what you're doing and look at your phone. You'll get an email with the text, who sent it, the number and the time.",Any new SMS received,Send me an email,/android_messages,/email,17.4k
Save Sms to Google Calendar,Saves any sent SMS so you can have an archive that is searchable,Any new SMS sent,Quick add event,/android_messages,/google_calendar,2.2k
Set your Hue lights to blink whenever you get a new text to your Android phone,A simple visual cue that someone's trying to get in touch with you.,Any new SMS received,Blink lights,/android_messages,/hue,9.9k
SMS Backup to dropbox in text file,SMS Backup to dropbox in text file,Any new SMS received,Append to a text file,/android_messages,/dropbox,923
"Alexa, Send Shopping List to My Phone","Alexa, Send Shopping List to My Phone",Ask what's on your Shopping List,Send an SMS,/amazon_alexa,/android_messages,12.8k
4pm I Love You Text,Every day at 4pm your phone will text your love to the person of your choice.,Every day at,Send an SMS,/date_and_time,/android_messages,1.4k
Text your lost Android phone to turn the ringer volume up 100%,"Text ""lostphone"" to your Android device and the ringer volume will be turned up to 100% — give it a call and you'll find it in no time!",New SMS received matches search,Set ringtone volume,/android_messages,/android_device,352.9k
Text my significant other when I get to work.,Text my significant other when I get to work.,Connects to a specific WiFi network,Send an SMS,/android_device,/android_messages,371
Get a daily digest email with a log of all the new SMS messages you've received,Adjust the time below to get this email at a different time.,Any new SMS received,Add to daily email digest,/android_messages,/email_digest,338
Sync SMS across devices.,Sync SMS across devices.,Any new SMS received,Send an SMS,/android_messages,/android_messages,1.4k
"Alexa, trigger PC on","Using Tasker on Android and the Wake On Lan app, you can use this recipe to power on your PC using Alexa.",Say a specific phrase,Send an SMS,/amazon_alexa,/android_messages,4.5k
Automatically send a text when you miss a call to your Android phone from someone important,"Enter the number to track, and when you get and miss a call from them they'll automatically get an SMS. You can customize the message you send them.",Incoming phone call from a specific number missed,Send an SMS,/android_phone,/android_messages,5.5k
Get Android SMS from phone to tablet!,Install pushbullet on Android tablet and use this recipe to mirror all sms received on your Android phone to your Android tablet.,Any new SMS received,Push a note,/android_messages,/pushbullet,819
Text message notifier (Android),Flash your lights when you receive a SMS on Android. A quiet way to be notified that you've received a text message. **Must have the IF app installed,Any new SMS received,Blink lights,/android_messages,/lifx,2.1k
"If I get an SMS, notify me with blink(1)","If I get an SMS, notify me with blink(1)",Any new SMS received,Send blink event,/android_messages,/blink1,192
Post incoming tagged SMS messages to a Slack channel,"If you have a support phone number, you can send incoming SMS help requests to your #help channel in Slack.",New SMS received matches search,Post to channel,/android_messages,/slack,465
"Good husband SMS:Respond to texts from your wife with ""Yes sweetheart, I love you!""",Add your wife's phone number below and to the best husband you can be.,New SMS received from phone number,Send an SMS,/android_messages,/android_messages,591
"If message is received, then log information in ONeNote",Logs message Information In OneNote,Any new SMS received,Create a page,/android_messages,/onenote,280
Automatically back up new texts you receive on your Android device to a Google Spreadsheet,Keep a record of your messages. No more endless scrolling! Every time you receive a new text message it will be automatically added to a Google Spreadsheet.,Any new SMS received,Add row to spreadsheet,/android_messages,/google_sheets,18.3k
"If new SMS received from [], then add row to spreadsheet in [] Google Drive",specific number,New SMS received from phone number,Add row to spreadsheet,/android_messages,/google_sheets,626
Text my spouse that I deserve a treat :),Text my spouse that I deserve a treat :),Daily calorie burn goal achieved,Send an SMS,/fitbit,/android_messages,189
Automatically send a message from your Android phone when you leave work,"Let someone special know you're on your way home from work. Locate your office with the map, and when you leave your Android phone will automatically send them a message.",You exit an area,Send an SMS,/location,/android_messages,5.0k
Automatically send someone the love quote of the day from your Android device,This Applet will send the love quote of the day as an SMS from your Android to the phone number you specify. Who says romance is dead?,Love Quotes,Send an SMS,/brainyquote,/android_messages,1.7k
Send a text when you miss a call to your Android phone,Send a text when you miss a call to your Android phone,Any incoming phone call missed,Send an SMS,/android_phone,/android_messages,8.9k
Send a SMS at a certain time every day,Send a SMS at a certain time every day,Every day of the week at,Send an SMS,/date_and_time,/android_messages,4.6k
Send short SMS via voice to anyone through Echo To Do hack,"Recipient will receive content of all items you add to your To Do List. To send SMS, simply say ""Alexa - add 'I am running late' to my To Do List"".",Item added to your To Do List,Send an SMS,/amazon_alexa,/android_messages,1.4k
Automatically send someone a text from your Android device at midnight on their birthday,"Be the first to wish someone special a very happy birthday! Customize with the date, their phone number, and a message.",Every year on,Send an SMS,/date_and_time,/android_messages,3.7k
Google Calendar Event Triggers Text,"When an activity on your Google calendar is about to begin, a text message is sent to your android device.",Any event starts,Send an SMS,/google_calendar,/android_messages,1.6k
Log received SMS messages to Google Calendar.,"Who wants to export SMS logs?
Have Google store them for you in a more searchable form.",Any new SMS received,Quick add event,/android_messages,/google_calendar,543
