applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Archive every Tweet you post to a spreadsheet,"Create an archive of your Tweets in a Google Drive spreadsheet for simple tracking and to see all of your content at-a-glance. You can choose whether or not to include Retweets and @replies, too.",New tweet by you,Add row to spreadsheet,/twitter,/google_sheets,36.5k
Press a button to track work hours in Google Drive,"This makes a widget you can add to the home screen on your phone. Never hassle with another time-tracking software - when you start work, press the button widget. When you stop working, press it again. Your work hours will be tracked automatically in a Google Spreadsheet.",Button press,Add row to spreadsheet,/do_button,/google_sheets,165.2k
Log how much time you spend at specific locations like the office or home in a spreadsheet,Set the map on an area that you want to track and this Applet will add a row of info to a Google Drive spreadsheet each time you arrive at or leave the area.,You enter or exit an area,Add row to spreadsheet,/location,/google_sheets,218.3k
Get LINE message when a new row is added,"Great for Sheets to track client leads, wedding RSVPs, and more. Receive a message in LINE when a new row is added to your Google Sheet.",New row added to spreadsheet,Send message,/google_sheets,/line,106
Track #hashtag mentions in a Google Spreadsheet,"Every time a certain #hashtag is used on Twitter, automatically track it in a Google Spreadsheet.",New tweet from search,Add row to spreadsheet,/twitter,/google_sheets,3.2k
Keep a simple spreadsheet of every Tweet you post,"Create an archive of your Tweets in Google Drive for eary tracking and to see all your content at-a-glance. Turn on this Applet and we'll create a spreadsheet for you in a folder called ""Twitter.""",New tweet by you,Add row to spreadsheet,/twitter,/google_sheets,44.5k
Log all players that killed my character,This Applet will create a log in Google Sheets of all the Rust players that killed your character.,You were killed by another player,Add row to spreadsheet,/rust,/google_sheets,2.4k
Archive every tweet from a specific handle to a spreadsheet,"Keep a record of the tweets you care about — enter the username you want to track (no need to include the ""@"" symbol) and they'll be saved in a Google spreadsheet. This is also a good workaround for accounts you don't want to follow on Twitter — but still want to track!",New tweet by a specific user,Add row to spreadsheet,/twitter,/google_sheets,1.4k
Keep a log of your recently played tracks,Connect Spotify with Google Sheets to keep track of all of your recently played tracks,New recently played track,Add row to spreadsheet,/spotify,/google_sheets,1.8k
Track your daily Fitbit activity in a Google spreadsheet,Automatically track all of your daily Fitbit activity into a simple Google spreadsheet.,Daily activity summary,Add row to spreadsheet,/fitbit,/google_sheets,29.6k
