applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Main Site RSS To Evernote,New Feed Item post to Evernote,New feed item,Create a link note,/feed,/evernote,647
Sync Evernote and Todoist,Two way syncing of Evernote notes and Todoist tasks,Create task,Create a note,/todoist,/evernote,1.7k
"Add a task to Todoist Inbox for every note tagged with ""Todoist"" in Evernote","Create a task in your Todoist Inbox if you add ""Todoist"" tag to any notes in Evernote. It uses the Todoist formatting syntax to create a hyperlink in the task title to the note, using note's title and PublicUrl of the note.",Add a specific tag to note,Create task,/evernote,/todoist,4.1k
Save your favorite tweets in an Evernote notebook,"Every time you favorite a tweet this Applet will grab it and collect in an Evernote notebook named ""Favorite tweets""",New liked tweet by you,Create a note,/twitter,/evernote,23.0k
Automatically add new tasks with a specific label to Evernote,"This Applet will sync any tasks with a specific label (you could use Evernote) to a new note in the Evernote notebook of your choice. Sync it up, and get it done!",New task created with label,Create a note,/todoist,/evernote,317
New note with a specific tag in Evernote to Notion.,Adds Evernotes note with a specific tag to Notion.,Add a specific tag to note,Create a page,/evernote,/notion_so,15
Sync Evernote notebook to Google Drive,Every new note created in an Evernote notebook creates a new document in Google Drive,New note in a notebook,Create a document,/evernote,/google_docs,1.2k
Log completed Todoist Tasks to one Evernote note,Keep track of your completed Todoist tasks in an appended Evernote note.,New completed task,Append to note,/todoist,/evernote,3.1k
Evernote Note (with a specific tag) saved to Day One,"When you tag an Evernote note with a specific tag, a new Day One journal entry will be created.",Add a specific tag to note,Create Journal Entry,/evernote,/day_one,899
Save my iOS reminders to an Evernote checklist,This Recipe adds a to-do to a note when you create an iOS reminder.  The Note which the to-do item is saved to will be the same name as the List of the original reminder.,Any new reminder,Append a to-do to note,/ios_reminders,/evernote,14.6k
Copy new Evernote notes to OneNote,This Applet will copy new notes in an Evernote notebook to OneNote.,New note in a notebook,Create a page,/evernote,/onenote,3.4k
Evernote To Do from email,Forward an email with #todo in subject and a To Do checklist will be created/appended.,Send IFTTT an email tagged,Append a to-do to note,/email,/evernote,1.8k
Send Instapaper highlights to Evernote,Send Instapaper highlights to Evernote,New highlight,Create a link note,/instapaper,/evernote,2.0k
Save your Instagram photos in Evernote,Automatically store the Instagram photos you post to an Evernote notebook,Any new photo by you,Create image note from URL,/instagram,/evernote,29.1k
When you create a new task in Google Tasks create a Note in Evernote,This Applet will automatically create a note in Evernote with all the details of your task from Google Tasks.,New task added,Create a note,/google_tasks,/evernote,74
Append Twitter Favorites to Evernote Note.,Append Twitter Favorites to Evernote Note.,New liked tweet by you,Append to note,/twitter,/evernote,417
Liked YouTube Videos append to a note in Evernote,Just a long awaited function.,New liked video,Append to note,/youtube,/evernote,1.1k
