applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Rent is due! Get a notification every month,At 8 AM on the last day of the month you'll get a push notification reminding you to pay up. Sad wallet...happy landlord!,Every month on the,Send a notification from the IFTTT app,/date_and_time,/if_notifications,7.8k
Recurring Tweets,Recurring Tweets,Every day at,Post a tweet,/date_and_time,/twitter,5.1k
Send a message to LINE every day,Send a message to a LINE recipient every day at the time you specify.,Every day at,Send message,/date_and_time,/line,1.4k
Take on the 1p Savings Challenge,"Gradually increase the amount you're saving each day to a pot of your choice. On 1st January, you'll save 1p. On 2nd January, you'll save 2p. This goes right up to £3.65 (or £3.66 😁) on the last day of the year!

Feel free to jump in part way through the year, and see how far you get!

The challenge resets automatically on January 1st every year.",Every day at,Move money into a pot,/date_and_time,/monzo,21.7k
Drink water every hour,Drink water every hour,Every hour at,Send a notification from the IFTTT app,/date_and_time,/if_notifications,1.0k
Remind yourself to meditate every day,Slow down for 5 minutes! Pick a time and remind yourself to sit quietly and meditate.,Every day at,Send a notification from the IFTTT app,/date_and_time,/if_notifications,13.0k
A reminder to drink water,"This applet sends you a notification ""Drink a glass of water!"" every 2 hours between 8 am and 8 pm :)",Every hour at,Send a notification from the IFTTT app,/date_and_time,/if_notifications,43.6k
Spotify Alarm Clock,I wanted to use Spotify as an alarm clock. Here's how I made that happen. https://gist.github.com/784de37358b27f5c7071,Every day at,Send me an email,/date_and_time,/email,11.2k
Mute your Android phone at bedtime,Mute your Android phone at bedtime,Every day at,Mute ringtone,/date_and_time,/android_device,102.7k
Timed Daily Tweet,auto tweet everyday at a certain time,Every day at,Post a tweet with image,/date_and_time,/twitter,8.0k
Send a special message to your followers on Twitter,Send a special message to your followers on Twitter,Every day of the week at,Post a tweet,/date_and_time,/twitter,7.5k
4pm I Love You Text,Every day at 4pm your phone will text your love to the person of your choice.,Every day at,Send an SMS,/date_and_time,/android_messages,1.4k
Close your MyQ garage nightly,"Every day, at 9 PM, close the garage door.

This applet requires an active account linking subscription.",Every day at,Close door,/date_and_time,/myq_devices,4.1k
Unmute your Android phone's ringer every morning,Unmute your Android phone's ringer every morning,Every day at,Set ringtone volume,/date_and_time,/android_device,42.9k
Save £1 every day challenge.,"Every day transfer £#, into a pot of your choice. A challenge aimed at saving you money every day without getting more or less expensive throughout the year.",Every day at,Move money into a pot,/date_and_time,/monzo,926
Automatically turn off your Hue lights at midnight every day,Good night! Turn off your lights at midnight (or any time you choose) every day.,Every day at,Turn off lights,/date_and_time,/hue,6.8k
Automatically post a daily reminder to a Telegram chat,"Pick the days of the week and time to send encouraging messages like ""Lunch break, everyone!"" or ""Now back to work, you maggots!"" to your coworkers in a Telegram chat.",Every day of the week at,Send message,/date_and_time,/telegram,3.9k
Play a Spotify song when the clock hits a certain hour,Start and end your day with Spotify. Play your favorite song when the clock hits a certain hour.,Every day at,Start playback,/date_and_time,/spotify,472
